country_alpha,country,respno,rawidentity,dv_identity,region,age,gender,ethndom,employment,educ,poltransform,econtransform,socialtransform,colyears,colpower,colpopulation,coastal,loggdp1980,loggdp2013,conflictyears,democ2013
5,BDI,BDI0200,5,1,EA,30,0,0,3,4,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0201,5,1,EA,60,0,0,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0202,5,1,EA,40,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0203,3,0,EA,19,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0204,5,1,EA,36,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0205,5,1,EA,26,0,1,3,4,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0206,5,1,EA,57,1,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0208,5,1,EA,45,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0209,5,1,EA,27,1,1,1,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0210,5,1,EA,80,0,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0211,5,1,EA,23,1,0,0,4,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0212,5,1,EA,66,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0213,5,1,EA,26,1,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0214,5,1,EA,33,0,0,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0215,5,1,EA,31,1,0,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0216,5,1,EA,32,0,1,3,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0217,3,0,EA,40,0,1,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0218,5,1,EA,33,1,1,1,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0219,3,0,EA,29,1,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0220,5,1,EA,22,0,1,1,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0221,5,1,EA,55,1,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0222,5,1,EA,18,1,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
